"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00335747","NEWARK WATER WORKS, OH US","1934-11-01","63","28","29"
"USC00335747","NEWARK WATER WORKS, OH US","1934-11-02","45","24","45"
"USC00335747","NEWARK WATER WORKS, OH US","1934-11-03","60","23","59"
"USC00335747","NEWARK WATER WORKS, OH US","1934-11-04","59","52","54"
"USC00335747","NEWARK WATER WORKS, OH US","1934-11-05","55","31","49"
"USC00335747","NEWARK WATER WORKS, OH US","1934-11-06","54","38","50"
"USC00335747","NEWARK WATER WORKS, OH US","1934-11-07","57","44","54"
"USC00335747","NEWARK WATER WORKS, OH US","1934-11-08","56","34","45"
"USC00335747","NEWARK WATER WORKS, OH US","1934-11-09","51","21","48"
"USC00335747","NEWARK WATER WORKS, OH US","1934-11-10","51","30","35"
"USC00335747","NEWARK WATER WORKS, OH US","1934-11-11","38","33","34"
"USC00335747","NEWARK WATER WORKS, OH US","1934-11-12","34","24","31"
"USC00335747","NEWARK WATER WORKS, OH US","1934-11-13","45","30","39"
"USC00335747","NEWARK WATER WORKS, OH US","1934-11-14","42","30","37"
"USC00335747","NEWARK WATER WORKS, OH US","1934-11-15","46","15","45"
"USC00335747","NEWARK WATER WORKS, OH US","1934-11-16","58","19","55"
"USC00335747","NEWARK WATER WORKS, OH US","1934-11-17","63","33","58"
"USC00335747","NEWARK WATER WORKS, OH US","1934-11-18","66","34","60"
"USC00335747","NEWARK WATER WORKS, OH US","1934-11-19","72","55","56"
"USC00335747","NEWARK WATER WORKS, OH US","1934-11-20","71","36","58"
"USC00335747","NEWARK WATER WORKS, OH US","1934-11-21","74","51","65"
"USC00335747","NEWARK WATER WORKS, OH US","1934-11-22","76","57","60"
"USC00335747","NEWARK WATER WORKS, OH US","1934-11-23","61","42","42"
"USC00335747","NEWARK WATER WORKS, OH US","1934-11-24","45","32","34"
"USC00335747","NEWARK WATER WORKS, OH US","1934-11-25","52","34","48"
"USC00335747","NEWARK WATER WORKS, OH US","1934-11-26","49","32","45"
"USC00335747","NEWARK WATER WORKS, OH US","1934-11-27","60","45","54"
"USC00335747","NEWARK WATER WORKS, OH US","1934-11-28","58","52","53"
"USC00335747","NEWARK WATER WORKS, OH US","1934-11-29","64","48","52"
"USC00335747","NEWARK WATER WORKS, OH US","1934-11-30","75","49","58"
"USC00335747","NEWARK WATER WORKS, OH US","1934-12-01","58","32","32"
"USC00335747","NEWARK WATER WORKS, OH US","1934-12-02","48","28","44"
"USC00335747","NEWARK WATER WORKS, OH US","1934-12-03","44","26","42"
"USC00335747","NEWARK WATER WORKS, OH US","1934-12-04","46","32","36"
"USC00335747","NEWARK WATER WORKS, OH US","1934-12-05","38","28","34"
"USC00335747","NEWARK WATER WORKS, OH US","1934-12-06","48","22","34"
"USC00335747","NEWARK WATER WORKS, OH US","1934-12-07","39","22","36"
"USC00335747","NEWARK WATER WORKS, OH US","1934-12-08","36","21","22"
"USC00335747","NEWARK WATER WORKS, OH US","1934-12-09","26","7","20"
"USC00335747","NEWARK WATER WORKS, OH US","1934-12-10","26","18","20"
"USC00335747","NEWARK WATER WORKS, OH US","1934-12-11","22","11","16"
"USC00335747","NEWARK WATER WORKS, OH US","1934-12-12","28","9","28"
"USC00335747","NEWARK WATER WORKS, OH US","1934-12-13","36","23","33"
"USC00335747","NEWARK WATER WORKS, OH US","1934-12-14","41","13","27"
"USC00335747","NEWARK WATER WORKS, OH US","1934-12-15","36","14","33"
"USC00335747","NEWARK WATER WORKS, OH US","1934-12-16","40","32","31"
"USC00335747","NEWARK WATER WORKS, OH US","1934-12-17","42","30","30"
"USC00335747","NEWARK WATER WORKS, OH US","1934-12-18","40","30","33"
"USC00335747","NEWARK WATER WORKS, OH US","1934-12-19","38","24","34"
"USC00335747","NEWARK WATER WORKS, OH US","1934-12-20","34","30","31"
"USC00335747","NEWARK WATER WORKS, OH US","1934-12-21","41","28","38"
"USC00335747","NEWARK WATER WORKS, OH US","1934-12-22","38","32","34"
"USC00335747","NEWARK WATER WORKS, OH US","1934-12-23","46","31","44"
"USC00335747","NEWARK WATER WORKS, OH US","1934-12-24","44","23","32"
"USC00335747","NEWARK WATER WORKS, OH US","1934-12-25","38","30","35"
